city_ascii,admin_name,admin_name_ascii
Delhi,Delhi,Delhi
Mumbai,Mah?r?shtra,Maharashtra
Kolkata,West Bengal,West Bengal
Bangalore,Karn?taka,Karnataka
Chennai,Tamil N?du,Tamil Nadu
Hyderabad,Telang?na,Telangana
Pune,Mah?r?shtra,Maharashtra
Ahmedabad,Gujar?t,Gujarat
Surat,Gujar?t,Gujarat
Prayagraj,Uttar Pradesh,Uttar Pradesh
Belahi,Bih?r,Bihar
Nadampalaiyam,Tamil N?du,Tamil Nadu
Lucknow,Uttar Pradesh,Uttar Pradesh
Kannankulam,Kerala,Kerala
Jaipur,R?jasth?n,Rajasthan
Kottarassheri,Kerala,Kerala
Attadappa,Kerala,Kerala
Barmhan Kalan,Madhya Pradesh,Madhya Pradesh
Mirzapur,Uttar Pradesh,Uttar Pradesh
Nagpur,Mah?r?shtra,Maharashtra
Ghaziabad,Uttar Pradesh,Uttar Pradesh
Supaul,Bih?r,Bihar
Vadodara,Gujar?t,Gujarat
Rajkot,Gujar?t,Gujarat
Vishakhapatnam,Andhra Pradesh,Andhra Pradesh
Indore,Madhya Pradesh,Madhya Pradesh
Abhepur,Hary?na,Haryana
Thane,Mah?r?shtra,Maharashtra
Bhopal,Madhya Pradesh,Madhya Pradesh
Agra,Uttar Pradesh,Uttar Pradesh
Peyanvilai,Tamil N?du,Tamil Nadu
Pimpri-Chinchwad,Mah?r?shtra,Maharashtra
Patna,Bih?r,Bihar
Bilaspur,Chhatt?sgarh,Chhattisgarh
Ludhiana,Punjab,Punjab
Madurai,Tamil N?du,Tamil Nadu
Jamshedpur,Jh?rkhand,Jharkhand
Nasik,Mah?r?shtra,Maharashtra
Vijayawada,Andhra Pradesh,Andhra Pradesh
Faridabad,Hary?na,Haryana
Najafgarh,Delhi,Delhi
Meerut,Uttar Pradesh,Uttar Pradesh
Jabalpur,Madhya Pradesh,Madhya Pradesh
Kalyan,Mah?r?shtra,Maharashtra
Vasai-Virar,Mah?r?shtra,Maharashtra
Panipat,Hary?na,Haryana
Varanasi,Uttar Pradesh,Uttar Pradesh
Kalleli,Kerala,Kerala
Srinagar,Jammu and Kashm?r,Jammu and Kashmir
Aurangabad,Mah?r?shtra,Maharashtra
Dhanbad,Jh?rkhand,Jharkhand
Amritsar,Punjab,Punjab
Aligarh,Uttar Pradesh,Uttar Pradesh
Guwahati,Assam,Assam
Haora,West Bengal,West Bengal
Ranchi,Jh?rkhand,Jharkhand
Gwalior,Madhya Pradesh,Madhya Pradesh
Chandigarh,,
Jodhpur,R?jasth?n,Rajasthan
Raipur,Chhatt?sgarh,Chhattisgarh
Kota,R?jasth?n,Rajasthan
Bareilly,Uttar Pradesh,Uttar Pradesh
Coimbatore,Tamil N?du,Tamil Nadu
Solapur,Mah?r?shtra,Maharashtra
Hubli,Karn?taka,Karnataka
Mysore,Karn?taka,Karnataka
Trichinopoly,Tamil N?du,Tamil Nadu
Moradabad,Uttar Pradesh,Uttar Pradesh
Tiruppur,Tamil N?du,Tamil Nadu
Gurgaon,Hary?na,Haryana
Jalandhar,Punjab,Punjab
Bhubaneshwar,Odisha,Odisha
Narela,Delhi,Delhi
Bhayandar,Mah?r?shtra,Maharashtra
Karimnagar,Andhra Pradesh,Andhra Pradesh
Patiala,Punjab,Punjab
Shishgarh,Uttar Pradesh,Uttar Pradesh
Thiruvananthapuram,Kerala,Kerala
Durgapur,West Bengal,West Bengal
Bhiwandi,Mah?r?shtra,Maharashtra
Bhilwara,R?jasth?n,Rajasthan
Saharanpur,Uttar Pradesh,Uttar Pradesh
Warangal,Andhra Pradesh,Andhra Pradesh
Shiliguri,West Bengal,West Bengal
